,country,date,inflation_annual%,real_interest_rate,risk_premium_on_lending,doing_business,GDP_current_US,gini_index
15961,United States,1960-01-01,1.45797598627786,,1.87416666666666,,543300000000.0,
15962,United States,1961-01-01,1.07072414764723,3.10788487484433,2.12416666666667,,563300000000.0,
15963,United States,1962-01-01,1.19877334820185,3.21534597587191,1.72166666666667,,605100000000.0,
15964,United States,1963-01-01,1.2396694214876,3.37488224240515,1.34333333333333,,638600000000.0,
15965,United States,1964-01-01,1.27891156462583,2.95166899970868,0.9475,,685800000000.0,
15966,United States,1965-01-01,1.58516926383669,2.56591312626037,0.58666666666667,,743700000000.0,
15967,United States,1966-01-01,3.01507537688439,2.64942062883462,0.74333333333333,,815000000000.0,
15968,United States,1967-01-01,2.77278562259307,2.40622703183633,1.30166666666666,,861700000000.0,
15969,United States,1968-01-01,4.27179615288534,1.86391124668396,0.96583333333333,,942500000000.0,
15970,United States,1969-01-01,5.4623862002875,2.85177336421873,1.26333333333334,,1019900000000.0,
15971,United States,1970-01-01,5.83825533848253,2.2501622197687,1.47333333333333,,1073303000000.0,
15972,United States,1971-01-01,4.29276668813045,0.622604943545067,1.38333333333333,,1164850000000.0,
15973,United States,1972-01-01,3.27227824655283,0.887229189218188,1.17916666666666,,1279110000000.0,
15974,United States,1973-01-01,6.17776006377041,2.40973532704246,0.995,,1425376000000.0,
15975,United States,1974-01-01,11.0548048048048,1.65106446946877,2.9233333333333,,1545243000000.0,35.3
15976,United States,1975-01-01,9.14314686496534,-1.28141917171203,2.0375,,1684904000000.0,
15977,United States,1976-01-01,5.74481263549085,1.26689165138414,1.84083333333333,,1873412000000.0,
15978,United States,1977-01-01,6.50168399472839,0.575068853397407,1.56,,2081826000000.0,
15979,United States,1978-01-01,7.63096383885602,1.88990329029697,1.83333333333334,,2351599000000.0,
15980,United States,1979-01-01,11.2544711292795,4.03454768984954,2.6233333333333,,2627333000000.0,35.3
15981,United States,1980-01-01,13.5492019749684,5.71639048270723,3.6508333333333,,2857307000000.0,35.2
15982,United States,1981-01-01,10.3347153402771,8.59461979779302,4.7925,,3207041000000.0,36.1
15983,United States,1982-01-01,6.13142700027494,8.1773474356199,4.1358333333333,,3343789000000.0,37.3
15984,United States,1983-01-01,3.21243523316063,6.61816021851611,2.1741666666667,,3634038000000.0,37.9
15985,United States,1984-01-01,4.30053547523427,8.14108811145525,2.46916666666667,,4037613000000.0,38.0
15986,United States,1985-01-01,3.54564415209369,6.56332656866071,2.44416666666666,,4338979000000.0,38.2
15987,United States,1986-01-01,1.89804772234275,6.1938602652141,2.36,,4579631000000.0,38.2
15988,United States,1987-01-01,3.66456321751691,5.59223790559199,2.3775,,4855215000000.0,37.2
15989,United States,1988-01-01,4.07774110744408,5.59038220100548,2.64333333333333,,5236438000000.0,37.7
15990,United States,1989-01-01,4.82700303008949,6.69068692475134,2.75916666666663,,5641580000000.0,38.2
15991,United States,1990-01-01,5.39795643990322,6.03974919919863,2.4991666666667,,5963144000000.0,38.3
15992,United States,1991-01-01,4.23496396453853,4.91534647819152,3.05416666666666,,6158129000000.0,38.0
15993,United States,1992-01-01,3.0288196781497,3.8842380429646,2.79166666666667,,6520327000000.0,38.4
15994,United States,1993-01-01,2.95165696638554,3.54561723851719,2.98083333333333,,6858559000000.0,40.4
15995,United States,1994-01-01,2.6074415921546,4.89830995092016,2.86833333333333,,7287236000000.0,40.0
15996,United States,1995-01-01,2.80541968853655,6.59399638000372,3.31583333333334,,7639749000000.0,39.9
15997,United States,1996-01-01,2.9312041999344,6.32407370665147,3.24666666666666,,8073122000000.0,40.3
15998,United States,1997-01-01,2.33768993730741,6.60336486127733,3.37166666666667,,8577554457000.0,40.5
15999,United States,1998-01-01,1.55227909874362,7.14817844771795,3.535,,9062818202000.0,40.0
16000,United States,1999-01-01,2.18802719697358,6.49342641808183,3.33666666666667,,9631174489000.0,40.0
16001,United States,2000-01-01,3.37685727149935,6.81342428762499,3.39416666666666,,10250947997000.0,40.1
16002,United States,2001-01-01,2.82617111885402,4.56584792926521,3.47,,10581929774000.0,40.6
16003,United States,2002-01-01,1.58603162650603,3.06864284890227,3.0625,,10929112955000.0,40.4
16004,United States,2003-01-01,2.27009497336113,2.10731081134663,3.10916666666667,,11456442041000.0,40.8
16005,United States,2004-01-01,2.67723669309173,1.61231095358931,2.96666666666667,,12217193198000.0,40.3
16006,United States,2005-01-01,3.39274684549547,2.96050632995504,3.0375,,13039199193000.0,41.0
16007,United States,2006-01-01,3.22594410070407,4.7260896527078,3.23583333333333,,13815586948000.0,41.4
16008,United States,2007-01-01,2.85267248150136,5.20675937563525,3.64,,14474226905000.0,40.8
